IXOPER_g447	1	IXOPER_C101	1184837	1188461
IXOPER_g448	1	IXOPER_C101	1211645	1251221
IXOPER_g449	-1	IXOPER_C101	1257623	1282856
IXOPER_g450	-1	IXOPER_C101	1286484	1288724
IXOPER_g451	1	IXOPER_C101	1289211	1322502
IXOPER_g452	-1	IXOPER_C101	1328932	1347613
IXOPER_g453	-1	IXOPER_C101	1350358	1352202
IXOPER_g454	1	IXOPER_C101	1364022	1368229
IXOPER_g455	1	IXOPER_C101	1370800	1372709
IXOPER_g456	1	IXOPER_C101	1373376	1374080
IXOPER_g3604	-1	IXOPER_C102	87575	88690
IXOPER_g3605	1	IXOPER_C102	104719	113546
IXOPER_g3606	-1	IXOPER_C102	249136	249691
IXOPER_g3607	1	IXOPER_C102	309856	315632
IXOPER_g3608	1	IXOPER_C102	394149	404533
IXOPER_g3609	1	IXOPER_C102	533804	561897
IXOPER_g3610	-1	IXOPER_C102	562936	586623
IXOPER_g3611	1	IXOPER_C102	586708	587658
IXOPER_g3612	-1	IXOPER_C102	589381	603977
IXOPER_g3613	1	IXOPER_C102	617116	629395
IXOPER_g3614	1	IXOPER_C102	632701	638884
IXOPER_g3615	1	IXOPER_C102	640641	645824
IXOPER_g3616	-1	IXOPER_C102	647926	648921
IXOPER_g3617	1	IXOPER_C102	655802	661710
IXOPER_g3618	1	IXOPER_C102	670926	671246
IXOPER_g3619	-1	IXOPER_C102	674867	675418
IXOPER_g3620	1	IXOPER_C102	675609	675965
IXOPER_g3621	-1	IXOPER_C102	691081	691599
IXOPER_g3622	1	IXOPER_C102	697574	713351
IXOPER_g3623	1	IXOPER_C102	717062	724722
IXOPER_g3624	-1	IXOPER_C102	727590	771338
IXOPER_g3625	-1	IXOPER_C102	775967	808394
IXOPER_g3626	1	IXOPER_C102	813435	828178
IXOPER_g3627	-1	IXOPER_C102	834338	856355
IXOPER_g3628	1	IXOPER_C102	868162	871542
IXOPER_g3629	1	IXOPER_C102	880419	880745
IXOPER_g3630	1	IXOPER_C102	883818	893542
IXOPER_g3631	-1	IXOPER_C102	897158	910361
IXOPER_g3632	1	IXOPER_C102	934832	935720
IXOPER_g3633	-1	IXOPER_C102	953558	966816
IXOPER_g3634	1	IXOPER_C102	971483	975802
IXOPER_g3635	-1	IXOPER_C102	983243	983731
IXOPER_g3636	1	IXOPER_C102	984922	988112
IXOPER_g3637	-1	IXOPER_C102	998601	1001078
IXOPER_g3638	-1	IXOPER_C102	1001131	1002144
IXOPER_g3639	-1	IXOPER_C102	1025801	1029627
IXOPER_g3640	-1	IXOPER_C102	1031790	1056418
IXOPER_g3641	1	IXOPER_C102	1087274	1108306
IXOPER_g3642	1	IXOPER_C102	1111520	1201214
IXOPER_g8595	1	IXOPER_C103	28771	29214
IXOPER_g8596	-1	IXOPER_C103	86193	163411
IXOPER_g8597	-1	IXOPER_C103	261897	395952
IXOPER_g8598	-1	IXOPER_C103	457960	469998
IXOPER_g8599	-1	IXOPER_C103	470028	541912
IXOPER_g8600	-1	IXOPER_C103	557115	624339
IXOPER_g8601	-1	IXOPER_C103	648193	731244
IXOPER_g8602	-1	IXOPER_C103	748793	764990
IXOPER_g8603	-1	IXOPER_C103	833223	892305
IXOPER_g8604	1	IXOPER_C103	913848	914171
IXOPER_g8605	-1	IXOPER_C103	919245	930099
IXOPER_g8606	-1	IXOPER_C103	958181	959068
IXOPER_g8607	-1	IXOPER_C103	959294	1033188
IXOPER_g8608	-1	IXOPER_C103	1044652	1052660
IXOPER_g8609	-1	IXOPER_C103	1056720	1086520
IXOPER_g8610	-1	IXOPER_C103	1105155	1204453
IXOPER_g8611	-1	IXOPER_C103	1271419	1353341
IXOPER_g8612	1	IXOPER_C103	1381469	1383771
IXOPER_g8613	1	IXOPER_C103	1473369	1473650
IXOPER_g8614	1	IXOPER_C103	1490859	1491236
IXOPER_g8615	-1	IXOPER_C103	1498312	1503462
IXOPER_g8616	-1	IXOPER_C103	1518443	1524275
IXOPER_g10406	-1	IXOPER_C104	27157	28575
IXOPER_g10407	-1	IXOPER_C104	33575	41772
IXOPER_g10408	-1	IXOPER_C104	48681	59966
