TACGIG_g29020	-1	TACGIG_C1	1700226	1788959
TACGIG_g29021	1	TACGIG_C1	1790961	1791266
TACGIG_g29022	1	TACGIG_C1	1794505	1841872
TACGIG_g29023	-1	TACGIG_C1	1845732	1936256
TACGIG_g29024	-1	TACGIG_C1	1999938	2014348
TACGIG_g29025	1	TACGIG_C1	2014809	2023814
TACGIG_g29026	1	TACGIG_C1	2023944	2024588
TACGIG_g29027	-1	TACGIG_C1	2025064	2041832
TACGIG_g29028	-1	TACGIG_C1	2051109	2052333
TACGIG_g29029	1	TACGIG_C1	2059831	2070867
TACGIG_g29030	-1	TACGIG_C1	2071407	2075519
TACGIG_g29031	1	TACGIG_C1	2096879	2098253
TACGIG_g29032	1	TACGIG_C1	2136147	2143643
TACGIG_g29033	-1	TACGIG_C1	2210578	2213193
TACGIG_g29034	-1	TACGIG_C1	2213493	2297736
TACGIG_g29035	1	TACGIG_C1	2297842	2304323
TACGIG_g29036	1	TACGIG_C1	2309392	2309940
TACGIG_g29037	1	TACGIG_C1	2377440	2424766
TACGIG_g29038	-1	TACGIG_C1	2430294	2439246
TACGIG_g29039	1	TACGIG_C1	2442483	2447766
TACGIG_g29040	1	TACGIG_C1	2447817	2450720
TACGIG_g29041	1	TACGIG_C1	2450771	2457391
TACGIG_g29042	1	TACGIG_C1	2457211	2467044
TACGIG_g29043	1	TACGIG_C1	2467085	2473738
TACGIG_g29044	1	TACGIG_C1	2473851	2480637
TACGIG_g29045	1	TACGIG_C1	2480706	2481729
TACGIG_g29046	1	TACGIG_C1	2481764	2502040
TACGIG_g29047	1	TACGIG_C1	2502070	2518984
TACGIG_g29048	-1	TACGIG_C1	2520748	2527001
TACGIG_g29049	-1	TACGIG_C1	2564535	2583359
TACGIG_g29050	1	TACGIG_C1	2618637	2629018
TACGIG_g29051	1	TACGIG_C1	2629072	2630040
TACGIG_g29052	1	TACGIG_C1	2630094	2631602
TACGIG_g29053	1	TACGIG_C1	2631656	2633704
TACGIG_g29054	1	TACGIG_C1	2633758	2635320
TACGIG_g29055	-1	TACGIG_C1	2662313	2667262
TACGIG_g29056	-1	TACGIG_C1	2686636	2709513
TACGIG_g29057	1	TACGIG_C1	2713945	2715606
TACGIG_g29058	-1	TACGIG_C1	2723800	2726609
TACGIG_g29059	1	TACGIG_C1	2731040	2753159
TACGIG_g29060	1	TACGIG_C1	2759809	2760174
TACGIG_g29061	-1	TACGIG_C1	2760595	2765012
TACGIG_g29062	1	TACGIG_C1	2765309	2793480
